id,account_number,givenName,familyName,email,mobile,isDeceased,isInHardship,isActive,hasFamilyIssues,hasLifeSupport,hasSpecialCircumstances,dateOfBirth,createdAt
U-50000032,A-10000032,Nicole,Carter,nicole.carter378@icloud.com,+17667436632,False,False,True,False,False,False,1956-10-07,2024-07-14
U-50000033,A-10000033,Nicholas,Moore,nicholas.moore284@outlook.com,+13023985853,False,False,True,False,False,False,1966-10-31,2025-03-01
U-50000034,A-10000034,Justin,Rodriguez,justin.rodriguez292@icloud.com,+16906516582,False,False,True,False,False,False,1963-06-23,2025-09-28
U-50000035,A-10000035,David,Sanchez,david.sanchez783@icloud.com,+18208104697,False,False,True,False,False,False,1965-01-23,2025-08-30
U-50000036,A-10000036,Samantha,Ramirez,samantha.ramirez566@gmail.com,+13602027693,False,False,True,False,False,False,2000-09-02,2025-09-13
U-50000037,A-10000037,Emily,Jackson,emily.jackson558@yahoo.com,+18633525352,False,False,True,False,False,False,1995-08-31,2024-08-06
U-50000038,A-10000038,Samuel,Mitchell,samuel.mitchell41@icloud.com,+19525305102,False,False,True,False,False,False,1989-10-25,2025-01-22
U-50000039,A-10000039,Robert,Carter,robert.carter993@gmail.com,+16815567690,False,False,True,False,False,False,1999-08-14,2025-10-03
U-50000040,A-10000040,Ryan,Hall,ryan.hall886@gmail.com,+18737558569,False,False,True,False,False,False,1979-10-06,2025-01-22
U-50000041,A-10000041,Christine,Carter,christine.carter624@yahoo.com,+19263626091,False,False,True,False,False,False,1998-01-18,2024-08-18
U-50000042,A-10000042,Donald,Turner,donald.turner484@yahoo.com,+16677643369,False,False,True,False,False,False,1998-07-25,2024-07-29
U-50000043,A-10000043,Karen,Parker,karen.parker594@icloud.com,+13526579824,False,False,True,False,True,False,1986-06-29,2025-02-04
U-50000044,A-10000044,Jason,Robinson,jason.robinson396@yahoo.com,+17072373068,False,False,True,False,False,False,1978-09-06,2025-05-04
U-50000045,A-10000045,Richard,King,richard.king666@gmail.com,+15368909742,False,False,True,False,False,False,1987-07-29,2025-10-29
U-50000046,A-10000046,John,Flores,john.flores455@yahoo.com,+19105061474,False,False,True,False,False,False,1991-08-27,2025-03-18
U-50000047,A-10000047,Rebecca,Ramirez,rebecca.ramirez510@yahoo.com,+14376725161,False,False,True,False,False,False,2005-10-03,2025-03-08
U-50000048,A-10000048,Emma,Hernandez,emma.hernandez874@icloud.com,+13094427248,False,False,True,False,False,False,1968-01-16,2024-08-18
U-50000049,A-10000049,Michelle,Johnson,michelle.johnson795@yahoo.com,+18215604588,False,False,True,False,False,False,1989-02-07,2025-02-05
U-50000050,A-10000050,Richard,Green,richard.green136@outlook.com,+17437135465,False,False,True,False,False,False,2002-10-05,2025-01-01
U-50000051,A-10000051,Deborah,Phillips,deborah.phillips375@gmail.com,+16042145332,False,False,True,False,False,False,1960-03-17,2024-07-22
U-50000052,A-10000052,Kimberly,Nguyen,kimberly.nguyen651@icloud.com,+19175097689,False,True,True,False,False,False,1967-04-29,2024-10-29
U-50000053,A-10000053,Anna,Davis,anna.davis907@icloud.com,+18703019017,False,False,True,False,False,False,1964-06-17,2025-03-18
U-50000054,A-10000054,Gary,Lewis,gary.lewis972@icloud.com,+12938784475,False,False,True,False,False,False,1973-07-05,2024-11-07
U-50000055,A-10000055,Thomas,Gomez,thomas.gomez3@outlook.com,+13483339850,False,False,True,False,False,False,1977-02-28,2025-04-17
U-50000056,A-10000056,Mary,Thompson,mary.thompson526@gmail.com,+16627154629,False,False,True,False,False,False,1992-11-23,2024-12-17
U-50000057,A-10000057,Patricia,Brown,patricia.brown282@outlook.com,+15908119692,False,False,True,False,False,False,1981-09-09,2024-09-28
U-50000058,A-10000058,Richard,Gomez,richard.gomez682@outlook.com,+15833568770,False,False,True,False,False,False,1996-05-10,2025-04-07
U-50000059,A-10000059,Richard,Mitchell,richard.mitchell889@gmail.com,+14948146119,False,False,True,False,False,False,1997-11-18,2025-07-03
U-50000060,A-10000060,Lisa,Nelson,lisa.nelson998@gmail.com,+18238735381,False,False,True,False,False,False,1962-07-19,2025-03-29
U-50000061,A-10000061,Anthony,Smith,anthony.smith465@outlook.com,+13615786105,False,False,True,False,False,False,1956-10-21,2025-06-20
U-50000062,A-10000062,Christine,Brown,christine.brown291@icloud.com,+17398836053,False,False,True,False,False,False,1960-03-01,2025-02-08
U-50000063,A-10000063,James,Wilson,james.wilson721@yahoo.com,+17127726802,False,False,True,False,False,False,1992-10-31,2025-04-11
U-50000064,A-10000064,Nicholas,Jones,nicholas.jones472@outlook.com,+12906472734,False,False,True,False,False,False,1995-10-15,2024-08-31
U-50000065,A-10000065,Amanda,Mitchell,amanda.mitchell835@yahoo.com,+14413053399,False,False,True,False,False,False,2003-07-26,2025-04-01
U-50000066,A-10000066,Barbara,Lopez,barbara.lopez324@yahoo.com,+16502698682,False,False,True,False,False,False,1964-11-24,2024-07-26
U-50000067,A-10000067,Stephanie,Allen,stephanie.allen520@icloud.com,+16737941672,False,False,True,False,False,False,1957-12-29,2024-12-31
U-50000068,A-10000068,Eric,Allen,eric.allen450@yahoo.com,+15725815634,False,False,True,False,False,False,1964-04-05,2025-09-11
U-50000069,A-10000069,Ronald,Jones,ronald.jones597@yahoo.com,+15585177421,False,False,True,False,False,False,1964-07-13,2025-08-09
U-50000070,A-10000070,Jason,Adams,jason.adams19@outlook.com,+15163844509,False,False,True,False,False,False,1988-08-03,2025-07-06
U-50000071,A-10000071,Lisa,Jones,lisa.jones386@yahoo.com,+13663853712,False,False,True,False,False,False,1960-02-22,2025-08-02
U-50000072,A-10000072,Steven,Lewis,steven.lewis377@icloud.com,+16729875616,False,False,True,False,False,False,1957-08-17,2025-01-26
U-50000073,A-10000073,Sandra,Phillips,sandra.phillips292@gmail.com,+19813645469,False,False,True,False,False,False,1959-01-21,2025-06-25
U-50000074,A-10000074,Donald,Evans,donald.evans954@gmail.com,+19318656493,False,False,True,False,False,False,1984-05-04,2024-11-21
U-50000075,A-10000075,Karen,Carter,karen.carter114@outlook.com,+14435082996,False,True,True,False,False,False,1975-06-18,2024-08-11
U-50000076,A-10000076,Joseph,Turner,joseph.turner192@gmail.com,+17365692108,False,False,True,False,False,False,1968-10-11,2024-05-14
U-50000077,A-10000077,Robert,Harris,robert.harris107@outlook.com,+13362456772,False,False,True,False,True,True,1970-03-26,2025-09-30
U-50000078,A-10000078,Angela,Hall,angela.hall324@outlook.com,+17276079897,False,False,True,False,False,False,1986-03-02,2025-05-11
U-50000079,A-10000079,Stephanie,Parker,stephanie.parker509@icloud.com,+15767315369,False,False,True,False,False,False,1968-01-11,2024-12-09
U-50000080,A-10000080,Betty,Wright,betty.wright44@outlook.com,+18296455498,False,False,True,False,False,False,2000-07-27,2024-12-20
U-50000081,A-10000081,Brenda,Phillips,brenda.phillips973@gmail.com,+18193578371,False,False,True,False,False,False,1987-02-12,2025-10-13
U-50000082,A-10000082,Karen,King,karen.king269@outlook.com,+19206564515,False,False,True,False,False,False,1976-12-01,2024-10-02
U-50000083,A-10000083,Barbara,Lewis,barbara.lewis913@outlook.com,+13619283852,False,False,True,False,False,False,1969-12-17,2024-08-15
U-50000084,A-10000084,Karen,Thomas,karen.thomas735@icloud.com,+17386207708,False,False,True,False,False,False,1989-11-02,2025-10-18
U-50000085,A-10000085,Barbara,Lewis,barbara.lewis852@gmail.com,+17303565982,False,False,True,False,False,False,1957-03-25,2024-06-02
U-50000086,A-10000086,Larry,Jackson,larry.jackson965@yahoo.com,+13758746531,False,False,True,False,False,False,1960-01-15,2025-03-02
U-50000087,A-10000087,Helen,Taylor,helen.taylor305@icloud.com,+12749051981,False,False,True,False,False,False,1982-02-13,2024-09-13
U-50000088,A-10000088,Mark,Perez,mark.perez109@outlook.com,+14476773007,False,False,True,False,False,False,1962-03-23,2025-06-19
U-50000089,A-10000089,Michael,Jackson,michael.jackson528@icloud.com,+17105159148,False,False,True,False,False,False,1999-10-31,2024-09-11
U-50000090,A-10000090,Steven,Wilson,steven.wilson442@yahoo.com,+14709446992,False,False,True,False,False,False,1971-06-13,2024-11-17
U-50000091,A-10000091,Brandon,Scott,brandon.scott132@gmail.com,+16035826555,False,False,True,False,False,False,1996-12-28,2024-11-07
U-50000092,A-10000092,Brenda,Sanchez,brenda.sanchez954@outlook.com,+13666025902,False,False,True,False,False,False,1995-04-03,2025-10-03
U-50000093,A-10000093,Jonathan,Rivera,jonathan.rivera28@icloud.com,+14718714728,True,False,True,False,False,False,1973-02-21,2025-01-11
U-50000094,A-10000094,Christine,Roberts,christine.roberts708@yahoo.com,+16207138726,False,False,True,False,False,False,1984-04-07,2025-06-15
U-50000095,A-10000095,Melissa,Nelson,melissa.nelson823@outlook.com,+18246954150,False,False,True,False,False,False,2001-08-07,2024-05-24
U-50000096,A-10000096,Edward,Roberts,edward.roberts693@icloud.com,+16045533399,False,False,True,False,False,False,2000-01-09,2025-04-15
U-50000097,A-10000097,Gary,Adams,gary.adams249@gmail.com,+18857434697,False,False,True,False,False,False,1975-04-07,2024-07-11
U-50000098,A-10000098,Eric,Miller,eric.miller329@outlook.com,+18612602465,False,False,True,False,False,False,2008-02-25,2025-11-08
U-50000099,A-10000099,Cynthia,Turner,cynthia.turner306@gmail.com,+15434918444,False,False,True,False,False,False,2000-01-07,2025-10-07
